Attendance,Grades,Homework Streak,Feedback Behavior,Weekly Test Scores,Attention Test Scores,Ragging,Finance Issue,Mental Health Issue,Physical Health Issue,Discrimination Based on Gender,Physical Disability,Risk Status
94,9,0,4,69,94,0,0,0,1,1,0,1
97,63,0,2,92,10,1,0,1,0,0,0,1
50,63,1,1,60,99,1,0,1,0,0,1,1
53,60,1,4,96,57,1,1,1,1,1,0,1
53,35,0,3,2,41,1,0,1,1,0,0,1
89,99,0,1,37,60,0,1,1,1,0,0,1
59,8,1,5,35,20,0,0,1,0,1,1,1
69,90,1,1,67,85,1,1,0,1,1,1,1
71,56,1,2,74,72,1,0,0,1,0,1,1
86,45,0,4,91,50,0,1,0,0,0,1,1
73,77,1,3,93,17,1,1,1,0,1,1,1
56,61,1,2,67,5,1,1,1,1,0,1,1
74,89,1,4,63,14,1,0,0,0,1,0,1
74,44,0,1,93,36,0,0,0,1,0,1,1
62,52,0,5,68,81,0,1,0,1,0,0,1
51,14,0,4,33,23,0,1,1,0,1,1,1
88,13,1,4,92,55,0,1,0,0,1,1,1
89,58,1,5,71,22,0,1,0,1,1,0,1
73,6,1,2,64,93,0,1,0,1,1,0,1
96,72,1,4,43,17,1,0,1,1,1,0,1
74,51,0,1,11,83,0,1,1,0,0,0,1
67,14,0,3,51,7,1,1,0,0,0,1,1
87,28,1,4,11,1,1,0,1,0,0,1,1
75,29,0,3,86,47,0,1,1,0,0,1,1
63,95,0,5,56,86,1,0,1,0,1,0,1
58,94,0,4,36,9,0,1,1,1,1,0,1
59,8,1,4,11,8,1,1,1,1,1,0,1
70,66,1,3,83,83,1,0,1,0,0,1,1
66,56,1,5,14,63,1,1,0,1,1,0,1
55,79,0,1,23,25,0,1,1,0,0,1,1
65,56,1,4,82,51,1,0,1,1,0,0,1
97,56,0,1,30,85,1,0,0,1,0,1,1
50,92,0,2,98,26,1,1,1,0,0,1,1
68,98,0,4,1,11,0,1,0,0,1,1,1
85,37,0,3,37,14,1,1,1,0,0,1,1
74,42,1,5,79,29,1,0,0,1,1,1,1
99,88,1,1,42,50,1,1,1,1,1,0,1
79,5,0,2,43,44,0,0,0,0,0,0,1
69,14,0,4,57,82,1,0,1,0,1,1,1
69,56,0,2,32,94,0,0,0,1,0,0,1
64,98,1,1,31,97,0,1,0,1,1,1,1
89,11,0,3,83,20,1,0,0,1,0,0,1
82,16,0,3,79,34,0,1,1,1,0,0,1
51,31,0,4,9,34,0,0,1,0,0,0,1
59,76,1,1,7,30,1,1,0,1,1,0,1
82,58,1,4,40,47,1,0,1,0,0,1,1
81,59,0,5,91,61,1,0,0,1,0,0,1
60,64,1,2,3,85,1,1,1,0,0,0,1
73,61,0,4,60,5,1,1,1,1,0,1,1
85,98,0,2,91,71,1,1,1,1,1,1,1
61,64,1,5,19,64,0,1,1,0,0,1,1
78,57,1,4,23,97,0,1,0,0,1,0,1
84,16,1,1,41,44,0,0,0,0,0,0,1
50,4,1,3,51,8,1,0,1,0,1,1,1
50,3,0,1,67,68,0,1,0,1,0,1,1
86,5,0,5,13,41,0,0,0,1,0,1,1
55,94,0,4,4,21,1,1,0,1,1,1,1
88,50,0,2,17,18,1,0,1,1,1,0,1
90,42,0,5,8,97,0,0,1,1,0,1,1
67,84,1,4,58,35,0,1,1,1,0,1,1
65,48,1,3,22,23,1,0,1,0,1,0,1
54,45,0,3,4,95,0,0,1,1,1,0,1
91,15,0,5,68,85,0,0,0,0,0,1,1
92,92,0,2,36,42,0,1,0,0,0,1,1
81,91,1,2,49,45,1,0,0,1,1,1,1
51,55,0,1,63,80,1,1,0,1,0,1,1
51,59,0,3,87,60,1,0,1,1,1,1,1
89,55,1,5,85,88,1,1,0,0,0,1,1
91,33,0,4,25,94,1,1,0,0,1,0,1
85,11,0,2,27,55,1,1,1,1,0,1,1
88,91,1,3,37,76,0,1,1,0,0,0,1
61,34,0,3,73,50,0,1,0,0,0,1,1
96,88,0,5,54,68,1,1,1,0,0,0,1
68,13,1,1,57,25,0,0,1,1,1,1,1
77,7,1,2,43,23,0,0,0,1,1,0,1
50,24,0,2,0,13,1,1,0,1,0,1,1
64,65,0,3,26,4,1,0,1,1,0,1,1
85,99,1,1,71,91,1,1,1,1,1,1,1
62,82,0,1,20,48,1,1,0,0,1,0,1
92,40,1,1,0,54,0,1,0,1,1,1,1
70,55,1,1,26,47,0,1,1,1,1,0,1
61,65,1,4,83,42,1,0,1,1,1,0,1
54,27,1,1,20,51,0,0,1,1,1,0,1
56,15,0,5,5,50,1,0,0,0,1,1,1
54,15,0,1,99,63,0,1,0,1,1,0,1
97,41,1,4,69,53,0,0,1,1,1,1,1
53,77,1,2,98,73,0,0,0,1,0,1,1
62,6,0,3,20,24,0,0,1,0,1,1,1
86,96,0,1,21,44,0,1,0,1,1,0,1
90,92,1,1,92,39,1,0,1,1,0,0,1
64,56,0,2,20,71,0,0,0,1,1,1,1
65,52,0,3,45,39,1,0,1,0,0,1,1
70,6,1,4,44,2,0,0,1,1,0,0,1
85,78,1,4,4,22,1,0,1,1,0,0,1
73,31,0,1,93,19,1,1,1,1,0,0,1
65,6,1,2,64,85,1,0,0,1,1,0,1
63,33,1,4,54,84,1,0,0,0,1,0,1
71,58,0,3,36,80,0,0,0,0,1,1,0
98,46,1,1,71,15,1,1,1,1,0,1,1
99,26,0,4,24,98,0,0,0,0,0,1,1
55,51,1,5,98,66,1,0,0,0,1,1,1
91,32,0,1,81,76,1,1,0,0,0,0,1
85,60,1,1,33,58,1,0,1,1,1,0,1
50,46,0,1,67,23,0,1,0,1,1,0,1
81,95,1,2,64,12,1,0,0,0,0,1,1
55,7,1,1,40,35,0,0,0,1,0,0,1
80,49,0,4,78,62,1,0,0,1,0,0,1
50,39,0,5,6,76,0,0,1,0,1,1,1
99,65,1,5,22,35,1,0,1,0,1,1,1
86,5,1,2,69,42,0,0,0,1,1,0,1
84,27,1,4,68,59,1,0,1,0,0,0,1
98,38,1,2,30,91,0,0,0,1,1,0,1
79,45,1,2,83,35,1,1,1,1,1,1,1
53,23,1,1,15,57,0,0,0,0,1,1,1
84,12,0,3,58,84,1,0,1,1,0,1,1
92,9,1,2,89,50,1,0,1,0,0,0,1
63,29,0,2,97,42,0,1,0,1,0,0,1
98,29,1,5,21,47,1,1,0,0,1,1,1
89,13,1,3,43,92,0,0,0,0,0,0,1
71,87,0,3,62,73,1,1,1,0,1,0,1
59,24,0,5,78,44,1,1,0,0,1,0,1
50,9,1,5,50,28,0,0,0,0,1,0,1
60,68,1,2,65,43,0,1,0,0,1,1,1
93,37,0,3,64,58,0,1,0,1,1,0,1
73,56,1,2,59,93,0,0,1,1,1,0,1
